Series Id,Year,Period,Value
APU0000704111,2012,M12,4.639
APU0000704111,2013,M01,4.722
APU0000704111,2013,M02,4.831
APU0000704111,2013,M03,4.909
APU0000704111,2013,M04,4.887
APU0000704111,2013,M05,5.092
APU0000704111,2013,M06,5.334
APU0000704111,2013,M07,5.494
APU0000704111,2013,M08,5.618
APU0000704111,2013,M09,5.680
APU0000704111,2013,M10,5.708
APU0000704111,2013,M11,5.615
APU0000704111,2013,M12,5.544
APU0000704111,2014,M01,5.563
APU0000704111,2014,M02,5.461
APU0000704111,2014,M03,5.552
APU0000704111,2014,M04,5.690
APU0000704111,2014,M05,6.048
APU0000704111,2014,M06,6.106
APU0000704111,2014,M07,6.009
APU0000704111,2014,M08,6.068
APU0000704111,2014,M09,5.953
APU0000704111,2014,M10,5.759
APU0000704111,2014,M11,5.574
APU0000704111,2014,M12,5.531
APU0000704111,2015,M01,5.589
APU0000704111,2015,M02,5.472
APU0000704111,2015,M03,5.367
APU0000704111,2015,M04,5.211
APU0000704111,2015,M05,4.940
APU0000704111,2015,M06,5.059
APU0000704111,2015,M07,5.184
APU0000704111,2015,M08,5.410
APU0000704111,2015,M09,5.734
APU0000704111,2015,M10,5.899
APU0000704111,2015,M11,5.847
APU0000704111,2015,M12,5.734
APU0000704111,2016,M01,5.656
APU0000704111,2016,M02,5.394
APU0000704111,2016,M03,5.494
APU0000704111,2016,M04,5.613
APU0000704111,2016,M05,5.552
APU0000704111,2016,M06,5.374
APU0000704111,2016,M07,5.454
APU0000704111,2016,M08,5.448
APU0000704111,2016,M09,5.481
APU0000704111,2016,M10,5.375
APU0000704111,2016,M11,5.106
APU0000704111,2016,M12,5.102
APU0000704111,2017,M01,5.180
APU0000704111,2017,M02,5.334
APU0000704111,2017,M03,5.745
APU0000704111,2017,M04,5.775
APU0000704111,2017,M05,5.699
APU0000704111,2017,M06,5.665
APU0000704111,2017,M07,5.819
APU0000704111,2017,M08,6.241
APU0000704111,2017,M09,6.366
APU0000704111,2017,M10,6.066
APU0000704111,2017,M11,5.708
APU0000704111,2017,M12,5.629
APU0000704111,2018,M01,5.654
APU0000704111,2018,M02,5.533
APU0000704111,2018,M03,5.527
APU0000704111,2018,M04,5.421
APU0000704111,2018,M05,5.452
APU0000704111,2018,M06,5.247
APU0000704111,2018,M07,5.418
APU0000704111,2018,M08,5.577
APU0000704111,2018,M09,5.501
APU0000704111,2018,M10,5.370
APU0000704111,2018,M11,5.392
APU0000704111,2018,M12,5.502
APU0000704111,2019,M01,5.518
APU0000704111,2019,M02,5.502
APU0000704111,2019,M03,5.608
APU0000704111,2019,M04,5.552
APU0000704111,2019,M05,5.812
APU0000704111,2019,M06,5.878
APU0000704111,2019,M07,5.701
APU0000704111,2019,M08,5.576
APU0000704111,2019,M09,5.571
APU0000704111,2019,M10,5.653
APU0000704111,2019,M11,5.505
APU0000704111,2019,M12,5.474
APU0000704111,2020,M01,5.505
APU0000704111,2020,M02,5.497
APU0000704111,2020,M03,5.257
APU0000704111,2020,M04,5.346
APU0000704111,2020,M05,5.348
APU0000704111,2020,M06,5.772
APU0000704111,2020,M07,5.776
APU0000704111,2020,M08,5.559
APU0000704111,2020,M09,5.619
APU0000704111,2020,M10,5.722
APU0000704111,2020,M11,5.754
APU0000704111,2020,M12,5.831
APU0000704111,2021,M01,5.831
APU0000704111,2021,M02,5.778
APU0000704111,2021,M03,5.852
APU0000704111,2021,M04,6.215
APU0000704111,2021,M05,6.346
APU0000704111,2021,M06,6.670
APU0000704111,2021,M07,6.857
APU0000704111,2021,M08,7.096
APU0000704111,2021,M09,7.220
APU0000704111,2021,M10,7.317
APU0000704111,2021,M11,7.265
APU0000704111,2021,M12,7.211
APU0000704111,2022,M01,7.222
APU0000704111,2022,M02,7.097
APU0000704111,2022,M03,7.203
APU0000704111,2022,M04,7.422
APU0000704111,2022,M05,7.364
APU0000704111,2022,M06,7.403
APU0000704111,2022,M07,7.415
APU0000704111,2022,M08,7.372
APU0000704111,2022,M09,7.383
APU0000704111,2022,M10,7.608
APU0000704111,2022,M11,7.243
APU0000704111,2022,M12,6.956
APU0000704111,2023,M01,6.808
APU0000704111,2023,M02,6.595
APU0000704111,2023,M03,6.613
APU0000704111,2023,M04,6.549
APU0000704111,2023,M05,6.339
APU0000704111,2023,M06,6.224
APU0000704111,2023,M07,6.236
APU0000704111,2023,M08,6.502
APU0000704111,2023,M09,7.083
APU0000704111,2023,M10,7.223
APU0000711211,1980,M01,0.319
APU0000711211,1980,M02,0.345
APU0000711211,1980,M03,0.355
APU0000711211,1980,M04,0.353
APU0000711211,1980,M05,0.357
APU0000711211,1980,M06,0.348
APU0000711211,1980,M07,0.332
APU0000711211,1980,M08,0.335
APU0000711211,1980,M09,0.335
APU0000711211,1980,M10,0.335
APU0000711211,1980,M11,0.339
APU0000711211,1980,M12,0.349
APU0000711211,1981,M01,0.343
APU0000711211,1981,M02,0.366
APU0000711211,1981,M03,0.377
APU0000711211,1981,M04,0.377
APU0000711211,1981,M05,0.379
APU0000711211,1981,M06,0.369
APU0000711211,1981,M07,0.341
APU0000711211,1981,M08,0.351
APU0000711211,1981,M09,0.358
APU0000711211,1981,M10,0.364
APU0000711211,1981,M11,0.355
APU0000711211,1981,M12,0.364
APU0000711211,1982,M01,0.364
APU0000711211,1982,M02,0.359
APU0000711211,1982,M03,0.373
APU0000711211,1982,M04,0.380
APU0000711211,1982,M05,0.372
APU0000711211,1982,M06,0.381
APU0000711211,1982,M07,0.344
APU0000711211,1982,M08,0.332
APU0000711211,1982,M09,0.343
APU0000711211,1982,M10,0.317
APU0000711211,1982,M11,0.344
APU0000711211,1982,M12,0.337
APU0000711211,1983,M01,0.332
APU0000711211,1983,M02,0.352
APU0000711211,1983,M03,0.357
APU0000711211,1983,M04,0.416
APU0000711211,1983,M05,0.438
APU0000711211,1983,M06,0.449
APU0000711211,1983,M07,0.462
APU0000711211,1983,M08,0.403
APU0000711211,1983,M09,0.394
APU0000711211,1983,M10,0.385
APU0000711211,1983,M11,0.327
APU0000711211,1983,M12,0.315
APU0000711211,1984,M01,0.344
APU0000711211,1984,M02,0.373
APU0000711211,1984,M03,0.373
APU0000711211,1984,M04,0.389
APU0000711211,1984,M05,0.354
APU0000711211,1984,M06,0.391
APU0000711211,1984,M07,0.386
APU0000711211,1984,M08,0.362
APU0000711211,1984,M09,0.350
APU0000711211,1984,M10,0.341
APU0000711211,1984,M11,0.333
APU0000711211,1984,M12,0.317
APU0000711211,1985,M01,0.350
APU0000711211,1985,M02,0.378
APU0000711211,1985,M03,0.394
APU0000711211,1985,M04,0.422
APU0000711211,1985,M05,0.392
APU0000711211,1985,M06,0.399
APU0000711211,1985,M07,0.348
APU0000711211,1985,M08,0.361
APU0000711211,1985,M09,0.376
APU0000711211,1985,M10,0.346
APU0000711211,1985,M11,0.316
APU0000711211,1985,M12,0.321
APU0000711211,1986,M01,0.337
APU0000711211,1986,M02,0.378
APU0000711211,1986,M03,0.402
APU0000711211,1986,M04,0.464
APU0000711211,1986,M05,0.461
APU0000711211,1986,M06,0.376
APU0000711211,1986,M07,0.371
APU0000711211,1986,M08,0.369
APU0000711211,1986,M09,0.384
APU0000711211,1986,M10,0.372
APU0000711211,1986,M11,0.371
APU0000711211,1986,M12,0.333
APU0000711211,1987,M03,0.376
APU0000711211,1987,M04,0.381
APU0000711211,1987,M05,0.357
APU0000711211,1987,M06,0.390
APU0000711211,1987,M07,0.350
APU0000711211,1987,M08,0.367
APU0000711211,1987,M09,0.363
APU0000711211,1987,M10,0.346
APU0000711211,1987,M11,0.343
APU0000711211,1987,M12,0.375
APU0000711211,1988,M01,0.374
APU0000711211,1988,M02,0.415
APU0000711211,1988,M03,0.413
APU0000711211,1988,M04,0.423
APU0000711211,1988,M05,0.422
APU0000711211,1988,M06,0.501
APU0000711211,1988,M07,0.433
APU0000711211,1988,M08,0.397
APU0000711211,1988,M09,0.389
APU0000711211,1988,M10,0.421
APU0000711211,1988,M11,0.423
APU0000711211,1988,M12,0.407
APU0000711211,1989,M01,0.394
APU0000711211,1989,M02,0.415
APU0000711211,1989,M03,0.450
APU0000711211,1989,M04,0.523
APU0000711211,1989,M05,0.522
APU0000711211,1989,M06,0.479
APU0000711211,1989,M07,0.456
APU0000711211,1989,M08,0.434
APU0000711211,1989,M09,0.428
APU0000711211,1989,M10,0.432
APU0000711211,1989,M11,0.435
APU0000711211,1989,M12,0.416
APU0000711211,1990,M01,0.429
APU0000711211,1990,M02,0.492
APU0000711211,1990,M03,0.500
APU0000711211,1990,M04,0.481
APU0000711211,1990,M05,0.462
APU0000711211,1990,M06,0.447
APU0000711211,1990,M07,0.529
APU0000711211,1990,M08,0.463
APU0000711211,1990,M09,0.465
APU0000711211,1990,M10,0.432
APU0000711211,1990,M11,0.429
APU0000711211,1990,M12,0.430
APU0000711211,1991,M01,0.438
APU0000711211,1991,M02,0.485
APU0000711211,1991,M03,0.577
APU0000711211,1991,M04,0.547
APU0000711211,1991,M05,0.584
APU0000711211,1991,M06,0.532
APU0000711211,1991,M07,0.516
APU0000711211,1991,M08,0.416
APU0000711211,1991,M09,0.432
APU0000711211,1991,M10,0.395
APU0000711211,1991,M11,0.431
APU0000711211,1991,M12,0.419
APU0000711211,1992,M01,0.428
APU0000711211,1992,M02,0.493
APU0000711211,1992,M03,0.517
APU0000711211,1992,M04,0.484
APU0000711211,1992,M05,0.445
APU0000711211,1992,M06,0.463
APU0000711211,1992,M07,0.431
APU0000711211,1992,M08,0.509
APU0000711211,1992,M09,0.459
APU0000711211,1992,M10,0.442
APU0000711211,1992,M11,0.422
APU0000711211,1992,M12,0.404
APU0000711211,1993,M01,0.426
APU0000711211,1993,M02,0.475
APU0000711211,1993,M03,0.475
APU0000711211,1993,M04,0.483
APU0000711211,1993,M05,0.472
APU0000711211,1993,M06,0.446
APU0000711211,1993,M07,0.448
APU0000711211,1993,M08,0.422
APU0000711211,1993,M09,0.395
APU0000711211,1993,M10,0.405
APU0000711211,1993,M11,0.404
APU0000711211,1993,M12,0.414
APU0000711211,1994,M01,0.440
APU0000711211,1994,M02,0.514
APU0000711211,1994,M03,0.500
APU0000711211,1994,M04,0.469
APU0000711211,1994,M05,0.469
APU0000711211,1994,M06,0.447
APU0000711211,1994,M07,0.452
APU0000711211,1994,M08,0.480
APU0000711211,1994,M09,0.453
APU0000711211,1994,M10,0.430
APU0000711211,1994,M11,0.434
APU0000711211,1994,M12,0.458
APU0000711211,1995,M01,0.503
APU0000711211,1995,M02,0.496
APU0000711211,1995,M03,0.508
APU0000711211,1995,M04,0.485
APU0000711211,1995,M05,0.483
APU0000711211,1995,M06,0.490
APU0000711211,1995,M07,0.522
APU0000711211,1995,M08,0.512
APU0000711211,1995,M09,0.490
APU0000711211,1995,M10,0.471
APU0000711211,1995,M11,0.462
APU0000711211,1995,M12,0.454
APU0000711211,1996,M01,0.463
APU0000711211,1996,M02,0.501
APU0000711211,1996,M03,0.539
APU0000711211,1996,M04,0.505
APU0000711211,1996,M05,0.512
APU0000711211,1996,M06,0.498
APU0000711211,1996,M07,0.498
APU0000711211,1996,M08,0.478
APU0000711211,1996,M09,0.458
APU0000711211,1996,M10,0.465
APU0000711211,1996,M11,0.477
APU0000711211,1996,M12,0.481
APU0000711211,1997,M01,0.497
APU0000711211,1997,M02,0.518
APU0000711211,1997,M03,0.532
APU0000711211,1997,M04,0.512
APU0000711211,1997,M05,0.484
APU0000711211,1997,M06,0.488
APU0000711211,1997,M07,0.487
APU0000711211,1997,M08,0.475
APU0000711211,1997,M09,0.458
APU0000711211,1997,M10,0.459
APU0000711211,1997,M11,0.468
APU0000711211,1997,M12,0.461
APU0000711211,1998,M01,0.473
APU0000711211,1998,M02,0.489
APU0000711211,1998,M03,0.475
APU0000711211,1998,M04,0.511
APU0000711211,1998,M05,0.510
APU0000711211,1998,M06,0.507
APU0000711211,1998,M07,0.530
APU0000711211,1998,M08,0.489
APU0000711211,1998,M09,0.476
APU0000711211,1998,M10,0.470
APU0000711211,1998,M11,0.487
APU0000711211,1998,M12,0.510
APU0000711211,1999,M01,0.489
APU0000711211,1999,M02,0.509
APU0000711211,1999,M03,0.506
APU0000711211,1999,M04,0.482
APU0000711211,1999,M05,0.492
APU0000711211,1999,M06,0.502
APU0000711211,1999,M07,0.494
APU0000711211,1999,M08,0.490
APU0000711211,1999,M09,0.481
APU0000711211,1999,M10,0.471
APU0000711211,1999,M11,0.480
APU0000711211,1999,M12,0.494
APU0000711211,2000,M01,0.490
APU0000711211,2000,M02,0.528
APU0000711211,2000,M03,0.517
APU0000711211,2000,M04,0.510
APU0000711211,2000,M05,0.509
APU0000711211,2000,M06,0.506
APU0000711211,2000,M07,0.512
APU0000711211,2000,M08,0.490
APU0000711211,2000,M09,0.488
APU0000711211,2000,M10,0.496
APU0000711211,2000,M11,0.479
APU0000711211,2000,M12,0.487
APU0000711211,2001,M01,0.500
APU0000711211,2001,M02,0.496
APU0000711211,2001,M03,0.510
APU0000711211,2001,M04,0.492
APU0000711211,2001,M05,0.509
APU0000711211,2001,M06,0.506
APU0000711211,2001,M07,0.523
APU0000711211,2001,M08,0.519
APU0000711211,2001,M09,0.508
APU0000711211,2001,M10,0.503
APU0000711211,2001,M11,0.509
APU0000711211,2001,M12,0.505
APU0000711211,2002,M01,0.509
APU0000711211,2002,M02,0.504
APU0000711211,2002,M03,0.519
APU0000711211,2002,M04,0.504
APU0000711211,2002,M05,0.515
APU0000711211,2002,M06,0.512
APU0000711211,2002,M07,0.517
APU0000711211,2002,M08,0.499
APU0000711211,2002,M09,0.498
APU0000711211,2002,M10,0.504
APU0000711211,2002,M11,0.505
APU0000711211,2002,M12,0.504
APU0000711211,2003,M01,0.526
APU0000711211,2003,M02,0.508
APU0000711211,2003,M03,0.513
APU0000711211,2003,M04,0.517
APU0000711211,2003,M05,0.505
APU0000711211,2003,M06,0.521
APU0000711211,2003,M07,0.514
APU0000711211,2003,M08,0.514
APU0000711211,2003,M09,0.494
APU0000711211,2003,M10,0.490
APU0000711211,2003,M11,0.498
APU0000711211,2003,M12,0.504
APU0000711211,2004,M01,0.512
APU0000711211,2004,M02,0.504
APU0000711211,2004,M03,0.500
APU0000711211,2004,M04,0.505
APU0000711211,2004,M05,0.491
APU0000711211,2004,M06,0.498
APU0000711211,2004,M07,0.510
APU0000711211,2004,M08,0.507
